Principle,Dimension,Indicator,AbsValue,MIN,Q1,Q2,Q3,MAX,Threshold,RelValue,Color
Citizen-led Research,Community alignment,CitizenCommunity,4.07,4.07,4.20,4.30,4.95,6.13,3.00,1,#00796B
Citizen-led Research,Responsiveness to community alignment,CitizenResponsiveness,4.50,3.42,3.75,4.50,5.00,6.00,3.00,3,#00796B
Citizen-led Research,Total,Citizen-led,4.23,4.03,4.23,4.38,4.56,6.08,3.00,2,#00796B
Citizen-led Research,Civil Society,CitizenCivil,4.14,3.71,4.14,4.29,4.43,6.14,3.00,2,#00796B
Citizen-led Research,Project Manager,CitizenProject,5.33,3.33,4.67,5.33,5.67,6.33,3.00,3,#00796B
Citizen-led Research,Scientist,CitizenScientist,3.67,3.67,4.00,5.00,5.33,5.33,3.00,1,#00796B
Citizen-led Research,Student,CitizenStudent,4.67,3.00,3.00,4.00,4.67,6.00,3.00,4,#00796B
Integrity,Expectation alignment,IntegrityExpectation,4.50,3.88,4.13,4.50,4.50,4.75,3.00,4,#F17600
Integrity,Gender perspective,IntegrityGender,3.00,3.00,3.00,3.75,3.75,4.25,3.00,2,#F17600
Integrity,Inclusivity,IntegrityInclusivity,6.33,0.00,5.00,5.50,5.83,6.33,3.00,4,#F17600
Integrity,Reflexivity,IntegrityReflexivity,0.00,0.00,0.00,0.00,0.00,4.00,3.00,4,#F17600
Integrity,Resource availability,IntegrityResource,5.00,4.00,4.67,5.00,5.33,5.67,3.00,3,#F17600
Integrity,Transparency,IntegrityTransparency,4.00,1.00,1.50,4.00,4.00,6.00,3.00,4,#F17600
Integrity,Total,Integrity,3.90,3.44,3.48,3.63,3.90,3.96,3.00,4,#F17600
Integrity,Civil Society,IntegrityCivil,4.33,2.67,3.00,4.33,4.67,5.33,3.00,3,#F17600
Integrity,Project Manager,IntegrityProject,4.00,3.58,3.75,3.75,3.83,4.00,3.00,4,#F17600
Integrity,Scientist,IntegrityScientist,4.00,3.33,3.67,4.00,4.00,4.33,3.00,4,#F17600
Integrity,Student,IntegrityStudent,5.00,2.50,4.00,4.00,5.00,6.00,3.00,4,#F17600
Knowledge Democracy,Openness,KnowledgeOpenness,5.75,4.00,5.25,5.75,5.75,6.25,3.00,4,#2599D4
Knowledge Democracy,Scientific relevance,KnowledgeRelevance,3.22,2.44,3.22,4.22,5.00,6.33,3.00,2,#2599D4
Knowledge Democracy,Transdisciplinarity,KnowledgeTransdiscipl,5.88,3.88,5.00,5.75,5.88,5.88,3.00,4,#2599D4
Knowledge Democracy,Total,Knowledge,4.70,3.30,4.70,5.07,5.10,6.18,3.00,2,#2599D4
Knowledge Democracy,Civil Society,KnowledgeCivil,5.50,4.00,5.00,5.50,5.50,6.00,3.00,4,#2599D4
Knowledge Democracy,Project Manager,KnowledgeProject,5.40,4.00,5.40,5.40,5.40,6.20,3.00,4,#2599D4
Knowledge Democracy,Scientist,KnowledgeScientist,4.00,3.00,4.00,4.50,5.25,6.50,3.00,2,#2599D4
Knowledge Democracy,Student,KnowledgeStudent,4.50,4.00,4.50,4.50,5.00,5.50,3.00,3,#2599D4
Participatory Dynamics,Degree of engagement,ParticipatoryEngagement,6.00,5.00,5.00,6.00,7.00,7.00,3.00,3,#DAE14B
Participatory Dynamics,Impact of the participatory dynamics,ParticipatoryImpact,4.00,2.50,4.00,4.00,4.00,5.00,3.00,4,#DAE14B
Participatory Dynamics,Motivation,ParticipatoryMotivation,5.22,3.39,5.19,5.22,5.36,5.97,3.00,3,#DAE14B
Participatory Dynamics,Satisfaction with the participatory dunamics,ParticipatorySatisfaction,2.67,2.67,3.17,3.83,4.67,5.17,3.00,1,#DAE14B
Participatory Dynamics,Total,Participatory,4.19,3.63,4.19,4.40,4.95,5.38,3.00,2,#DAE14B
Participatory Dynamics,Civil Society,ParticipatoryCivil,5.17,4.00,4.17,5.00,5.17,5.50,3.00,4,#DAE14B
Participatory Dynamics,Project Manager,ParticipatoryProject,3.00,2.25,3.00,4.25,5.50,5.50,3.00,2,#DAE14B
Participatory Dynamics,Scientist,ParticipatoryScientist,3.80,2.40,3.80,4.20,5.00,5.20,3.00,2,#DAE14B
Participatory Dynamics,Student,ParticipatoryStudent,5.00,2.25,4.75,5.00,5.25,6.00,3.00,3,#DAE14B
Transformative Change,Collective capacity,TransformativeCollective,4.83,3.33,3.83,4.83,4.83,5.33,3.00,4,#2F4193
Transformative Change,Knowledge and skills,TransformativeSkills,4.75,3.00,3.75,4.25,4.75,5.75,3.00,4,#2F4193
Transformative Change,Policy impact,TransformativePolicy,5.17,0.00,0.00,2.83,5.17,6.50,3.00,4,#2F4193
Transformative Change,Self-improvement,TransformativeSelf,4.88,1.88,3.00,3.38,4.88,5.50,3.00,4,#2F4193
Transformative Change,Total,Transformative,4.88,2.85,3.14,3.15,4.88,5.47,3.00,4,#2F4193
Transformative Change,Civil Society,TransformativeCivil,5.29,1.29,2.00,3.86,5.29,6.00,3.00,4,#2F4193
Transformative Change,Project Manager,TransformativeProject,5.00,2.25,2.75,3.00,5.00,5.25,3.00,4,#2F4193
Transformative Change,Scientist,TransformativeScientist,4.33,1.33,1.67,2.67,4.33,5.33,3.00,4,#2F4193
Transformative Change,Student,TransformativeStudent,4.40,3.40,4.00,4.20,4.40,5.40,3.00,4,#2F4193
